# Index Q0 Q1 Q2 Q3
421 0.050658 0.154926 0.155660 0.974270
422 -0.709333 0.021962 0.266827 0.652049
423 -0.016231 0.312139 0.201654 0.928246
424 0.841297 0.158464 0.005167 0.516799
425 0.750532 0.276424 -0.078755 0.595054
426 -0.211410 0.210523 0.132921 0.945155
427 0.812378 0.257804 0.111491 0.511027
428 -0.255889 0.124742 0.282111 0.916173
429 -0.849049 -0.094632 0.271268 0.443366
430 -0.693545 -0.015406 0.440632 0.569738
431 -0.508270 -0.029673 0.134981 0.850036
432 0.870654 0.087635 0.011916 0.483880
433 -0.591284 0.003360 0.101717 0.800016
434 -0.413550 0.223885 0.288596 0.834005
435 -0.911877 -0.224685 0.316717 0.132995
436 -0.927366 -0.266104 0.254917 0.064796
437 -0.303677 0.071463 0.218583 0.924605
438 0.393104 0.199677 0.086997 0.893325
439 -0.427956 0.161209 0.267801 0.848026
440 -0.322017 0.131346 0.342918 0.872617
441 0.593521 0.102514 0.028628 0.797750
442 -0.977439 -0.090079 0.106911 -0.158330
443 -0.617343 -0.006360 0.262661 0.741523
444 -0.266205 0.229966 0.231518 0.907001
445 0.863598 0.059955 -0.000344 0.500603
446 0.016105 0.093027 0.081634 0.992181
447 -0.326973 0.100983 0.111846 0.932943
448 -0.266675 0.158383 0.232893 0.921716
449 0.811520 0.238948 0.018942 0.532899
450 -0.647742 0.049400 0.309486 0.694412
451 0.628748 0.389831 -0.015479 0.672658
452 0.690091 0.359883 -0.071741 0.623789
453 -0.185799 0.222933 0.231941 0.928431
454 0.020326 0.161037 0.129471 0.978208
455 -0.088947 0.188300 0.250921 0.945341
456 -0.354679 0.021325 0.074313 0.931786
457 -0.952331 -0.218608 0.209279 -0.038439
458 -0.473414 0.077350 0.340266 0.808774
459 -0.489078 0.032776 0.324402 0.809007
460 -0.193200 0.174784 0.216366 0.940909
461 0.760295 0.238753 0.115750 0.592917
462 -0.465564 0.105931 0.265702 0.837515
463 -0.646793 0.053391 0.299231 0.699478
464 0.195583 0.239057 0.136276 0.941290
465 0.456926 0.329040 0.133058 0.815626
466 -0.000489 0.157566 0.270550 0.949724
467 -0.041046 0.109936 0.140125 0.983155
468 -0.097214 0.197547 0.222047 0.949852
469 -0.519703 0.063435 0.232498 0.819652
470 -0.915277 -0.305787 0.262222 0.001298
471 0.821865 0.264453 0.008471 0.504511
472 -0.836913 -0.013903 0.332246 0.434736
473 -0.848622 -0.016638 0.075294 0.523350
474 -0.549994 0.050505 0.248986 0.795589
475 -0.108701 0.154477 0.278075 0.941804
476 0.712104 0.279252 -0.061615 0.641194
477 -0.995180 -0.040043 0.082441 0.034894
478 0.746643 0.259089 0.104956 0.603640
479 -0.284927 0.175647 0.267384 0.903588
480 -0.166895 0.269273 0.233639 0.919267
481 -0.976098 -0.046835 0.072999 -0.199274
482 -0.123784 0.162211 0.236247 0.950028
483 -0.126514 0.220516 0.253154 0.933424
484 -0.333057 0.087787 0.116788 0.931519
485 -0.844001 -0.029622 0.087095 0.528394
486 -0.924922 -0.239958 0.258025 0.142699
487 -0.742708 -0.039068 0.357379 0.564923
488 -0.411553 0.115487 0.229700 0.874371
489 -0.870356 -0.016504 0.183133 0.456805
490 0.823978 0.195250 -0.050270 0.529539
491 -0.534647 0.059283 0.214079 0.815358
492 0.344281 0.292580 -0.057136 0.890282
493 -0.951725 -0.167640 0.206908 0.152661
494 0.756865 0.225635 -0.008497 0.613328
495 -0.742231 -0.139030 0.252928 0.604807
496 0.107446 0.067211 0.045520 0.990892
497 0.533882 0.086132 0.043344 0.840043
